Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,NVDA,AMD
2015-10-01,24.6254,38.8273,26.036,105.98,90.3928,30.3568,0.5874,1.74
2015-10-02,24.8052,39.6628,26.627,106.11,91.5059,31.1325,0.6027,1.83
2015-10-05,24.8951,40.5854,27.184,111.25,93.434,31.8555,0.6178,1.8
2015-10-06,25.0142,40.6899,26.874,108.33,92.2314,32.0527,0.6258,1.83
2015-10-07,24.8951,40.7334,27.097,108.1,91.8339,31.8997,0.6324,1.86
2015-10-08,24.6074,41.2991,26.658,114.93,91.9034,31.7408,0.636,1.93
2015-10-09,25.1962,41.0032,26.99,113.33,92.6687,31.9618,0.6336,1.96
2015-10-12,25.0794,40.9075,27.5095,113.45,93.6825,32.1137,0.6404,1.87
2015-10-13,25.1221,40.8117,27.445,109.73,93.5433,32.3933,0.6416,1.92
2015-10-14,24.767,40.629,27.2415,110.23,93.4936,32.3367,0.6649,1.95
2015-10-15,25.1378,40.9162,28.122,101.09,95.3721,32.8621,0.6666,1.97
2015-10-16,24.9535,41.3514,28.538,98.99,96.9424,32.885,0.6771,1.94
2015-10-19,25.1086,41.4471,28.6575,101.69,97.8667,33.0786,0.6759,2.01
2015-10-20,25.567,41.5777,28.044,98.99,96.4057,32.293,0.6749,2.02
2015-10-21,25.5648,41.0815,27.7885,97.96,96.515,31.9121,0.6661,2.1
2015-10-22,25.9558,41.804,28.1955,97.32,99.0593,32.368,0.6902,2.14
2015-10-23,26.7603,46.0166,29.9515,100.04,101.5639,34.8614,0.6948,2.21
2015-10-26,25.9064,47.2177,30.4305,103.04,103.1342,35.3968,0.6917,2.15
2015-10-27,25.7423,46.7303,30.5505,103.07,103.0646,35.1837,0.6912,2.15
2015-10-28,26.803,46.9827,30.855,105.8,103.5616,35.4052,0.6968,2.18
2015-10-29,27.0862,46.443,31.3275,105.12,104.2374,35.6024,0.6727,2.13
2015-10-30,26.8547,45.8164,31.295,108.38,101.3452,35.2989,0.6895,2.12
2015-11-02,27.2322,46.3386,31.4175,107.64,102.677,35.8104,0.6975,2.19
2015-11-03,27.5446,47.1306,31.2655,109.74,101.9515,35.8626,0.6926,2.28
2015-11-04,27.4165,47.3482,32.0475,114.05,103.3032,36.1581,0.6812,2.2
2015-11-05,27.2901,47.3308,32.7825,113.5,108.0936,36.314,0.6734,2.2
2015-11-06,27.3217,47.8008,32.9685,114.06,106.4388,36.4386,0.7668,2.15
2015-11-09,27.2111,47.1393,32.7745,109.86,105.8375,35.9982,0.7634,2.11
2015-11-10,26.3535,46.5736,32.984,112.7,107.2488,36.1685,0.7488,2.02
2015-11-11,26.2046,46.6954,33.6625,112.86,108.3421,36.5201,0.7415,2.07
2015-11-12,26.1166,46.4082,33.28,108.92,107.3582,36.313,0.7388,2.0
2015-11-13,25.3537,45.9904,32.1175,103.65,103.3131,35.6063,0.7242,1.99
2015-11-16,25.769,46.7999,32.3905,111.35,103.4026,36.2003,0.7388,1.99
2015-11-17,25.6584,46.4143,32.165,117.1,104.4859,36.0185,0.7388,1.98
2015-11-18,26.4709,47.1854,33.177,120.63,107.1097,36.7485,0.757,2.12
2015-11-19,26.8072,47.2643,33.0635,120.22,105.609,36.6696,0.7592,2.14
2015-11-20,26.9245,47.4834,33.4225,123.84,106.6625,37.5729,0.7658,2.22
2015-11-23,26.5747,47.4834,33.9495,125.03,106.2947,37.5421,0.7543,2.22
2015-11-24,26.8297,47.5359,33.5575,123.31,105.0921,37.1597,0.7604,2.34
2015-11-25,26.6379,47.0452,33.767,124.16,104.7642,37.1532,0.7594,2.38
2015-11-27,26.5882,47.2555,33.663,125.44,104.8039,37.258,0.7658,2.33
2015-11-30,26.6988,47.6236,33.24,123.33,103.6013,36.8776,0.7738,2.36
2015-12-01,26.4822,48.3859,33.953,125.37,106.4637,38.0913,0.7989,2.34
2015-12-02,26.2429,48.3771,33.8005,128.93,105.4201,37.8599,0.7929,2.27
2015-12-03,25.9992,47.4921,33.3125,126.81,103.7405,37.3713,0.7911,2.23
2015-12-04,26.8636,48.9905,33.632,130.93,105.5294,38.0799,0.8233,2.28
2015-12-07,26.6943,48.9029,33.4915,125.36,104.9629,37.9031,0.8077,2.355
2015-12-08,26.683,48.8853,33.8665,126.98,105.8375,37.8594,0.8187,2.39
2015-12-09,26.094,48.1756,33.2395,124.2,103.9591,37.3251,0.798,2.35
2015-12-10,26.2181,48.4297,33.116,122.91,104.7741,37.2183,0.8046,2.45
2015-12-11,25.5433,47.3694,32.0075,118.91,101.4943,36.6924,0.7926,2.36
2015-12-14,25.3853,48.3158,32.8955,120.67,104.0188,37.1344,0.7946,2.34
2015-12-15,24.9362,48.3684,32.932,118.6,103.9094,36.9174,0.8043,2.36
2015-12-16,25.128,49.1833,33.7885,122.64,106.1357,37.6469,0.8092,2.54
2015-12-17,24.5954,48.8065,33.5325,122.51,105.5692,37.2168,0.797,2.56
2015-12-18,23.9296,47.4308,33.207,118.02,103.4026,36.7143,0.7841,2.45
2015-12-21,24.223,48.0441,33.2255,116.63,104.1281,37.1344,0.8025,2.53
2015-12-22,24.2005,48.4998,33.1575,116.24,104.8636,37.2451,0.8033,2.77
2015-12-23,24.5119,48.9116,33.185,118.16,103.9889,37.2605,0.8064,2.83
2015-12-24,24.381,48.7802,33.1395,117.33,104.3766,37.1657,0.8092,2.92
2015-12-28,24.1079,49.0255,33.76,117.11,105.281,37.8664,0.8085,3.0
2015-12-29,24.5413,49.5513,34.6985,119.12,106.6028,38.5661,0.8216,3.0
2015-12-30,24.2208,49.341,34.4535,116.71,105.5692,38.288,0.8146,2.98
2015-12-31,23.7559,48.6137,33.7945,114.38,104.0188,37.6861,0.8041,2.87
2016-01-04,23.7762,48.0179,31.8495,109.96,101.5937,36.8399,0.7897,2.77
2016-01-05,23.1804,48.2369,31.6895,107.66,102.1006,36.8766,0.8024,2.75
2016-01-06,22.7267,47.3607,31.6325,117.68,102.3391,36.9283,0.7692,2.505
2016-01-07,21.7676,45.7134,30.397,114.56,97.3201,36.0726,0.7387,2.275
2016-01-08,21.8827,45.8536,30.3525,111.39,96.7337,35.4807,0.7228,2.14
2016-01-11,22.237,45.8273,30.887,114.97,96.9126,35.5582,0.7241,2.34
2016-01-12,22.5597,46.2479,30.8945,116.58,98.7612,36.0568,0.7363,2.39
2016-01-13,21.9797,45.2489,29.0905,106.56,94.8553,34.7899,0.7138,2.25
